document_id,source_kind,source_role,definition_kind,source_path,raw_path,commit_hash,source_revision,doc_type,device_types,clusters,content_hash,included_reason
doc:a5ea07416a9fc68ba696b04318afcd03407d87dcc8774fbafa0bffcc59aa17db,repository,specification,cluster_base,data_model/1.7/clusters/AlarmBase.xml,raw/connectedhomeip/data_model/1.7/clusters/AlarmBase.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""Alarm Base"",""entity_kind"":""cluster_base"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""2""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x0070"",""0x0071""]","[""0x0057"",""0x0064""]",f58330780f70b4a6e9652becde0f66435b82de5ac292ff9a88f0bd08ed5db400,"[""scope.source_sets""]"
doc:ca9c788ea2ae3669e3e1ec7c557223fef198efae07c03a2db6d4fcd38c3db691,repository,specification,cluster,data_model/1.7/clusters/Binding-Cluster.xml,raw/connectedhomeip/data_model/1.7/clusters/Binding-Cluster.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x001E"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""1""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0070"",""0x0071"",""0x0072"",""0x0073"",""0x0074"",""0x0075"",""0x0077"",""0x0078"",""0x0079"",""0x007A"",""0x007C"",""0x007D"",""0x050F""]","[""0x001E""]",94e00ca675ec68dd1ef0d69fcbbd5d379edc115c9c3a25267dcbbed7cc404c85,"[""scope.source_sets""]"
doc:ca3becc6615451efa402bd41bda613e18b5845f80ed0f10e95f5485ac86536ee,repository,specification,cluster,data_model/1.7/clusters/Descriptor-Cluster.xml,raw/connectedhomeip/data_model/1.7/clusters/Descriptor-Cluster.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x001D"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""3""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0070"",""0x0071"",""0x0072"",""0x0073"",""0x0074"",""0x0075"",""0x0077"",""0x0078"",""0x0079"",""0x007A"",""0x007C"",""0x007D"",""0x050F""]","[""0x001D""]",3c3f6bb01229b3b44bc651d3afdcc12648a1c65b0f0830930d2ee52b9739d111,"[""scope.source_sets""]"
doc:6464528595e2f316d3265c040908db0ad366fa59cbdd31b5ff9ecde7c4a9c3ae,repository,specification,cluster,data_model/1.7/clusters/DishwasherAlarm.xml,raw/connectedhomeip/data_model/1.7/clusters/DishwasherAlarm.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x005D"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""1""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x0075""]","[""0x005D""]",97d847e101eea78ad09ac0fc24f3e63e0b109c7bc4deadfa604dca2820a8d54b,"[""scope.source_sets""]"
doc:7523b47823a7977fbb6b94719d7510ceed3754457111c7acd33d88c023403fb7,repository,specification,cluster,data_model/1.7/clusters/FanControl.xml,raw/connectedhomeip/data_model/1.7/clusters/FanControl.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x0202"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""7""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0072"",""0x0079"",""0x007A"",""0x007D""]","[""0x0202""]",87fb7ba5d34ea1aca2c68ccbcc1e651c8e3b213ec6845a2a3090faadafe026da,"[""scope.source_sets""]"
doc:e0de298c9ecd95ee20c263969589bc713d561d2f672514d1dabcb89903ee4dd1,repository,specification,cluster,data_model/1.7/clusters/FixedLabel-Cluster.xml,raw/connectedhomeip/data_model/1.7/clusters/FixedLabel-Cluster.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x0040"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""1""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0070"",""0x0071"",""0x0072"",""0x0073"",""0x0074"",""0x0075"",""0x0077"",""0x0078"",""0x0079"",""0x007A"",""0x007C"",""0x007D"",""0x050F""]","[""0x0040""]",568dbe9feb7853002949a89d0b5fd97e0312dc03ee88898b1c2fe20d9215dfd4,"[""scope.source_sets""]"
doc:77700eb118e04c6c0497b4289bfe966d78131ad991ea9671df5e02919370052e,repository,specification,cluster,data_model/1.7/clusters/Groups.xml,raw/connectedhomeip/data_model/1.7/clusters/Groups.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x0004"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""5""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0072""]","[""0x0004""]",78235f2824279d1440fad22fb76374b96c40cbe2d17770848b39de6661d37333,"[""scope.source_sets""]"
doc:f8070fa23b9039a96f3d2515554f23f52c013ee5154650419db0074226bd03a1,repository,specification,cluster,data_model/1.7/clusters/Humidistat.xml,raw/connectedhomeip/data_model/1.7/clusters/Humidistat.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x0205"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""1""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x007D""]","[""0x0205""]",b276e9cc109de49e4c58503401799e9693b7c653d52de04929128b1c738adc4a,"[""scope.source_sets""]"
doc:8ac5b85c15f6f1b9424406403fd82da5ddbc4f99a7929f86268b833ab2fa6b16,repository,specification,cluster,data_model/1.7/clusters/Identify.xml,raw/connectedhomeip/data_model/1.7/clusters/Identify.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""0x0003"",""entity_kind"":""cluster"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""6""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0070"",""0x0072"",""0x0073"",""0x0074"",""0x0075"",""0x0078"",""0x0079"",""0x007A"",""0x007C"",""0x007D"",""0x050F""]","[""0x0003""]",f741c247ae74379086fb675ca45514b0684db579cf7d5c5e290226db7f2f7854,"[""scope.source_sets""]"
doc:db03f3874aaf8c585827de5ca0d6f0468de78e01b53695c9f6b02f00228f4679,repository,specification,cluster_base,data_model/1.7/clusters/Label-Cluster.xml,raw/connectedhomeip/data_model/1.7/clusters/Label-Cluster.xml,1ac132b5ecd42cb6c78772f2576ed6f7fc814183,"{""artifact"":{""scheme"":""git_commit"",""value"":""1ac132b5ecd42cb6c78772f2576ed6f7fc814183""},""declarations"":[{""entity_id"":""Label"",""entity_kind"":""cluster_base"",""line_start"":60,""locator"":""/cluster/@revision"",""scheme"":""cluster_revision"",""status"":""present"",""value"":""1""}],""model_version"":""1.7"",""spec_sha"":""214e40c9d51cfe89050eae68ca5b76238fcfa332"",""spec_tag"":""0.9-1.7-winter2027""}",xml,"[""0x002D"",""0x0070"",""0x0071"",""0x0072"",""0x0073"",""0x0074"",""0x0075"",""0x0077"",""0x0078"",""0x0079"",""0x007A"",""0x007C"",""0x007D"",""0x050F""]","[""0x0040"",""0x0041""]",daf6ddfec5eb2738e40afb90927ec94183c50f2265f7495b11ba85ba81599172,"[""scope.source_sets""]"
